Scanning frequency (eV)      Vibronic intensity (a.u.)      Total intensity (a.u.)
2.6059000e+00                  3.0216242e-14                  3.0216242e-14
2.6060000e+00                  3.7768345e-14                  3.7768345e-14
2.6061000e+00                  4.8934621e-14                  4.8934621e-14
2.6062000e+00                  6.4237692e-14                  6.4237692e-14
2.6063000e+00                  8.3795746e-14                  8.3795746e-14
2.6064000e+00                  1.0707073e-13                  1.0707073e-13
2.6065000e+00                  1.3269915e-13                  1.3269915e-13
2.6066000e+00                  1.5850784e-13                  1.5850784e-13
2.6067000e+00                  1.8177884e-13                  1.8177884e-13
2.6068000e+00                  1.9974495e-13                  1.9974495e-13
2.6069000e+00                  2.1019884e-13                  2.1019884e-13
2.6070000e+00                  2.1202925e-13                  2.1202925e-13
2.6071000e+00                  2.0549766e-13                  2.0549766e-13
2.6072000e+00                  1.9215004e-13                  1.9215004e-13
2.6073000e+00                  1.7439043e-13                  1.7439043e-13
2.6074000e+00                  1.5486889e-13                  1.5486889e-13
2.6075000e+00                  1.3589768e-13                  1.3589768e-13
2.6076000e+00                  1.1908060e-13                  1.1908060e-13
2.6077000e+00                  1.0523838e-13                  1.0523838e-13
2.6078000e+00                  9.4589061e-14                  9.4589061e-14
2.6079000e+00                  8.7050386e-14                  8.7050386e-14
2.6080000e+00                  8.2508036e-14                  8.2508036e-14
2.6081000e+00                  8.0938015e-14                  8.0938015e-14
2.6082000e+00                  8.2357236e-14                  8.2357236e-14
2.6083000e+00                  8.6662569e-14                  8.6662569e-14
2.6084000e+00                  9.3470518e-14                  9.3470518e-14
2.6085000e+00                  1.0206895e-13                  1.0206895e-13
2.6086000e+00                  1.1154158e-13                  1.1154158e-13
2.6087000e+00                  1.2104618e-13                  1.2104618e-13
2.6088000e+00                  1.3015149e-13                  1.3015149e-13
2.6089000e+00                  1.3909839e-13                  1.3909839e-13
2.6090000e+00                  1.4886930e-13                  1.4886930e-13
2.6091000e+00                  1.6102352e-13                  1.6102352e-13
2.6092000e+00                  1.7735467e-13                  1.7735467e-13
