Scanning frequency (eV)      Vibronic intensity (a.u.)      Total intensity (a.u.)
2.6059000e+00                  1.8511767e-38                  1.8511767e-38
2.6060000e+00                  2.6224660e-38                  2.6224660e-38
2.6061000e+00                  3.6881019e-38                  3.6881019e-38
2.6062000e+00                  5.0108835e-38                  5.0108835e-38
2.6063000e+00                  6.5028350e-38                  6.5028350e-38
2.6064000e+00                  8.0246882e-38                  8.0246882e-38
2.6065000e+00                  9.4004473e-38                  9.4004473e-38
2.6066000e+00                  1.0446878e-37                  1.0446878e-37
2.6067000e+00                  1.1011594e-37                  1.1011594e-37
2.6068000e+00                  1.1008808e-37                  1.1008808e-37
2.6069000e+00                  1.0441241e-37                  1.0441241e-37
2.6070000e+00                  9.4010212e-38                  9.4010212e-38
2.6071000e+00                  8.0499029e-38                  8.0499029e-38
2.6072000e+00                  6.5866099e-38                  6.5866099e-38
2.6073000e+00                  5.2130688e-38                  5.2130688e-38
2.6074000e+00                  4.1102209e-38                  4.1102209e-38
2.6075000e+00                  3.4287452e-38                  3.4287452e-38
2.6076000e+00                  3.2931059e-38                  3.2931059e-38
2.6077000e+00                  3.8119706e-38                  3.8119706e-38
2.6078000e+00                  5.0863254e-38                  5.0863254e-38
2.6079000e+00                  7.2088741e-38                  7.2088741e-38
2.6080000e+00                  1.0253108e-37                  1.0253108e-37
2.6081000e+00                  1.4255285e-37                  1.4255285e-37
2.6082000e+00                  1.9195069e-37                  1.9195069e-37
2.6083000e+00                  2.4979726e-37                  2.4979726e-37
2.6084000e+00                  3.1433697e-37                  3.1433697e-37
2.6085000e+00                  3.8293093e-37                  3.8293093e-37
2.6086000e+00                  4.5205965e-37                  4.5205965e-37
2.6087000e+00                  5.1744482e-37                  5.1744482e-37
2.6088000e+00                  5.7440389e-37                  5.7440389e-37
2.6089000e+00                  6.1854124e-37                  6.1854124e-37
2.6090000e+00                  6.4676327e-37                  6.4676327e-37
2.6091000e+00                  6.5840487e-37                  6.5840487e-37
2.6092000e+00                  6.5606918e-37                  6.5606918e-37
2.6093000e+00                  6.4574192e-37                  6.4574192e-37
2.6094000e+00                  6.3592930e-37                  6.3592930e-37
2.6095000e+00                  6.3595107e-37                  6.3595107e-37
2.6096000e+00                  6.5394270e-37                  6.5394270e-37
2.6097000e+00                  6.9536557e-37                  6.9536557e-37
2.6098000e+00                  7.6271749e-37                  7.6271749e-37
2.6099000e+00                  8.5664851e-37                  8.5664851e-37
2.6100000e+00                  9.7797786e-37                  9.7797786e-37
2.6101000e+00                  1.1294925e-36                  1.1294925e-36
2.6102000e+00                  1.3162359e-36                  1.3162359e-36
2.6103000e+00                  1.5434849e-36                  1.5434849e-36
2.6104000e+00                  1.8126948e-36                  1.8126948e-36
2.6105000e+00                  2.1169482e-36                  2.1169482e-36
2.6106000e+00                  2.4382549e-36                  2.4382549e-36
2.6107000e+00                  2.7488561e-36                  2.7488561e-36
2.6108000e+00                  3.0173190e-36                  3.0173190e-36
2.6109000e+00                  3.2181110e-36                  3.2181110e-36
2.6110000e+00                  3.3414084e-36                  3.3414084e-36
2.6111000e+00                  3.3991320e-36                  3.3991320e-36
2.6112000e+00                  3.4241796e-36                  3.4241796e-36
2.6113000e+00                  3.4623423e-36                  3.4623423e-36
2.6114000e+00                  3.5594762e-36                  3.5594762e-36
2.6115000e+00                  3.7487967e-36                  3.7487967e-36
2.6116000e+00                  4.0435188e-36                  4.0435188e-36
2.6117000e+00                  4.4380840e-36                  4.4380840e-36
2.6118000e+00                  4.9174858e-36                  4.9174858e-36
2.6119000e+00                  5.4702328e-36                  5.4702328e-36
2.6120000e+00                  6.0981185e-36                  6.0981185e-36
2.6121000e+00                  6.8166439e-36                  6.8166439e-36
2.6122000e+00                  7.6439049e-36                  7.6439049e-36
2.6123000e+00                  8.5816425e-36                  8.5816425e-36
2.6124000e+00                  9.5973186e-36                  9.5973186e-36
2.6125000e+00                  1.0617701e-35                  1.0617701e-35
2.6126000e+00                  1.1540970e-35                  1.1540970e-35
2.6127000e+00                  1.2266597e-35                  1.2266597e-35
2.6128000e+00                  1.2733417e-35                  1.2733417e-35
2.6129000e+00                  1.2950552e-35                  1.2950552e-35
2.6130000e+00                  1.3006530e-35                  1.3006530e-35
2.6131000e+00                  1.3049422e-35                  1.3049422e-35
2.6132000e+00                  1.3242568e-35                  1.3242568e-35
2.6133000e+00                  1.3711363e-35                  1.3711363e-35
2.6134000e+00                  1.4501931e-35                  1.4501931e-35
2.6135000e+00                  1.5569333e-35                  1.5569333e-35
2.6136000e+00                  1.6802038e-35                  1.6802038e-35
2.6137000e+00                  1.8074817e-35                  1.8074817e-35
2.6138000e+00                  1.9309941e-35                  1.9309941e-35
2.6139000e+00                  2.0522183e-35                  2.0522183e-35
2.6140000e+00                  2.1829010e-35                  2.1829010e-35
2.6141000e+00                  2.3421342e-35                  2.3421342e-35
2.6142000e+00                  2.5506320e-35                  2.5506320e-35
2.6143000e+00                  2.8244213e-35                  2.8244213e-35
2.6144000e+00                  3.1702112e-35                  3.1702112e-35
2.6145000e+00                  3.5837767e-35                  3.5837767e-35
2.6146000e+00                  4.0513255e-35                  4.0513255e-35
2.6147000e+00                  4.5527573e-35                  4.5527573e-35
2.6148000e+00                  5.0654624e-35                  5.0654624e-35
2.6149000e+00                  5.5677961e-35                  5.5677961e-35
2.6150000e+00                  6.0420958e-35                  6.0420958e-35
2.6151000e+00                  6.4774716e-35                  6.4774716e-35
2.6152000e+00                  6.8723160e-35                  6.8723160e-35
2.6153000e+00                  7.2358264e-35                  7.2358264e-35
2.6154000e+00                  7.5874174e-35                  7.5874174e-35
2.6155000e+00                  7.9533135e-35                  7.9533135e-35
2.6156000e+00                  8.3609328e-35                  8.3609328e-35
2.6157000e+00                  8.8333564e-35                  8.8333564e-35
2.6158000e+00                  9.3871989e-35                  9.3871989e-35
